num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,average_swap_sample_complexity,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,runtime_per_swap,total_runtime,average_complexity_with_caching,average_runtime
10000,10,79.85260009765625,146701583,13759478,94223064,6,0,0,0,15703844.0,107982542,254684125,254684125,13.04491901397705,78.2695140838623,36383446.428571425,11.181359154837471
25000,10,79.39730072021484,311393016,32559187,346489377,5,0,0,0,69297875.4,379048564,690441580,690441580,41.17213664054871,205.8606832027436,115073596.66666667,34.31011386712393
40000,10,78.90111541748047,496016297,55743418,430221237,5,0,0,0,86044247.4,485964655,981980952,981980952,60.37404899597168,301.8702449798584,163663492.0,50.311707496643066
55000,10,78.677490234375,1026830638,84481625,962616427,8,0,0,0,120327053.375,1047098052,2073928690,2073928690,79.2813158929348,634.2505271434784,230436521.1111111,70.47228079371982
70000,10,78.99392700195312,1038980223,97426716,1255452521,6,0,0,0,209242086.8333333,1352879237,2391859460,2391859460,131.17517666021982,787.051059961319,341694208.5714286,112.43586570875985
