num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,average_swap_sample_complexity,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,runtime_per_swap,total_runtime,average_complexity_with_caching,average_runtime
10000,10,79.12953186035156,148673644,16490222,285282200,6.0,0,0,0,23773516.666666668,301772422,450446066,450446066,11.11008608341217,133.32103300094604,64349438.0,19.045861857278005
25000,10,79.05097961425781,433235611,41229986,1019487805,7.0,0,0,0,72820557.5,1060717791,1493953402,1493953402,31.03599556854793,434.503937959671,186744175.25,54.31299224495888
40000,10,79.13787841796875,1044761573,71159488,3021502426,11.0,0,0,0,137341019.36363637,3092661914,4137423487,4137423487,54.63139621777968,1201.890716791153,344785290.5833333,100.15755973259608
55000,10,78.677490234375,1028025207,84235097,2181381188,8.0,0,0,0,136336324.25,2265616285,3293641492,3293641492,61.3254330009222,981.2069280147552,365960165.7777778,109.02299200163947
70000,10,78.71376037597656,1026777176,100823045,2446116022,6.0,0,0,0,203843001.8333333,2546939067,3573716243,3573716243,90.9132308959961,1090.9587707519531,510530891.85714287,155.85125296456474
